Height km, Electron_density
   60.00, -0.10000E+01
   61.00, -0.10000E+01
   62.00, -0.10000E+01
   63.00, -0.10000E+01
   64.00, -0.10000E+01
   65.00, -0.10000E+01
   66.00, -0.10000E+01
   67.00, -0.10000E+01
   68.00, -0.10000E+01
   69.00, -0.10000E+01
   70.00, -0.10000E+01
   71.00, -0.10000E+01
   72.00, -0.10000E+01
   73.00, -0.10000E+01
   74.00, -0.10000E+01
   75.00, -0.10000E+01
   76.00, -0.10000E+01
   77.00, -0.10000E+01
   78.00, -0.10000E+01
   79.00, -0.10000E+01
   80.00,  0.11022E+08
   81.00,  0.35674E+08
   82.00,  0.85704E+08
   83.00,  0.16001E+09
   84.00,  0.24304E+09
   85.00,  0.31447E+09
   86.00,  0.36286E+09
   87.00,  0.39093E+09
   88.00,  0.41179E+09
   89.00,  0.44559E+09
   90.00,  0.52191E+09
   91.00,  0.69729E+09
   92.00,  0.10940E+10
   93.00,  0.12179E+10
   94.00,  0.13257E+10
   95.00,  0.14163E+10
   96.00,  0.14898E+10
   97.00,  0.15476E+10
   98.00,  0.15915E+10
   99.00,  0.16237E+10
  100.00,  0.16465E+10
  101.00,  0.16620E+10
  102.00,  0.16720E+10
  103.00,  0.16781E+10
  104.00,  0.16816E+10
  105.00,  0.16833E+10
  106.00,  0.16841E+10
  107.00,  0.16844E+10
  108.00,  0.16845E+10
  109.00,  0.16845E+10
  110.00,  0.16845E+10
  111.00,  0.16695E+10
  112.00,  0.16281E+10
  113.00,  0.15660E+10
  114.00,  0.14892E+10
  115.00,  0.14030E+10
  116.00,  0.13122E+10
  117.00,  0.12204E+10
  118.00,  0.11307E+10
  119.00,  0.10451E+10
  120.00,  0.96501E+09
  121.00,  0.89127E+09
  122.00,  0.82429E+09
  123.00,  0.76411E+09
  124.00,  0.71060E+09
  125.00,  0.66346E+09
  126.00,  0.62229E+09
  127.00,  0.58667E+09
  128.00,  0.55618E+09
  129.00,  0.53041E+09
  130.00,  0.50896E+09
  131.00,  0.49148E+09
  132.00,  0.47768E+09
  133.00,  0.46728E+09
  134.00,  0.46005E+09
  135.00,  0.45581E+09
  136.00,  0.45439E+09
  137.00,  0.45569E+09
  138.00,  0.45959E+09
  139.00,  0.46604E+09
  140.00,  0.47497E+09
  141.00,  0.48634E+09
  142.00,  0.50013E+09
  143.00,  0.51630E+09
  144.00,  0.53484E+09
  145.00,  0.55571E+09
  146.00,  0.57888E+09
  147.00,  0.60430E+09
  148.00,  0.63188E+09
  149.00,  0.66156E+09
  150.00,  0.69321E+09
  151.00,  0.72669E+09
  152.00,  0.76185E+09
  153.00,  0.79851E+09
  154.00,  0.83648E+09
  155.00,  0.87553E+09
  156.00,  0.91548E+09
  157.00,  0.95612E+09
  158.00,  0.99729E+09
  159.00,  0.10389E+10
  160.00,  0.10808E+10
  161.00,  0.11231E+10
  162.00,  0.11659E+10
  163.00,  0.12094E+10
  164.00,  0.12540E+10
  165.00,  0.13004E+10
  166.00,  0.13493E+10
  167.00,  0.14019E+10
  168.00,  0.14594E+10
  169.00,  0.15236E+10
  170.00,  0.15969E+10
  171.00,  0.16821E+10
  172.00,  0.16983E+10
  173.00,  0.17126E+10
  174.00,  0.17272E+10
  175.00,  0.17421E+10
  176.00,  0.17572E+10
  177.00,  0.17725E+10
  178.00,  0.17881E+10
  179.00,  0.18040E+10
  180.00,  0.18202E+10
  181.00,  0.18367E+10
  182.00,  0.18535E+10
  183.00,  0.18707E+10
  184.00,  0.18881E+10
  185.00,  0.19059E+10
  186.00,  0.19241E+10
  187.00,  0.19426E+10
  188.00,  0.19616E+10
  189.00,  0.19809E+10
  190.00,  0.20006E+10
  191.00,  0.20208E+10
  192.00,  0.20415E+10
  193.00,  0.20626E+10
  194.00,  0.20842E+10
  195.00,  0.21064E+10
  196.00,  0.21291E+10
  197.00,  0.21524E+10
  198.00,  0.21763E+10
  199.00,  0.22008E+10
  200.00,  0.22261E+10
  201.00,  0.22520E+10
  202.00,  0.22787E+10
  203.00,  0.23062E+10
  204.00,  0.23346E+10
  205.00,  0.23639E+10
  206.00,  0.23942E+10
  207.00,  0.24256E+10
  208.00,  0.24581E+10
  209.00,  0.24919E+10
  210.00,  0.25270E+10
  211.00,  0.25636E+10
  212.00,  0.26018E+10
  213.00,  0.26418E+10
  214.00,  0.26837E+10
  215.00,  0.27279E+10
  216.00,  0.27746E+10
  217.00,  0.28242E+10
  218.00,  0.28771E+10
