     Height km, Electron_density
   60.00 ,-0.10000E+01
   61.00 ,-0.10000E+01
   62.00 ,-0.10000E+01
   63.00 ,-0.10000E+01
   64.00 ,-0.10000E+01
   65.00 , 0.47375E+04
   66.00 , 0.22894E+05
   67.00 , 0.94624E+05
   68.00 , 0.33733E+06
   69.00 , 0.10459E+07
   70.00 , 0.28443E+07
   71.00 , 0.68414E+07
   72.00 , 0.14677E+08
   73.00 , 0.28318E+08
   74.00 , 0.49557E+08
   75.00 , 0.79320E+08
   76.00 , 0.11709E+09
   77.00 , 0.16077E+09
   78.00 , 0.20702E+09
   79.00 , 0.25213E+09
   80.00 , 0.29287E+09
   81.00 , 0.32719E+09
   82.00 , 0.35452E+09
   83.00 , 0.37569E+09
   84.00 , 0.39265E+09
   85.00 , 0.40859E+09
   86.00 , 0.43700E+09
   87.00 , 0.50639E+09
   88.00 , 0.67074E+09
   89.00 , 0.10713E+10
   90.00 , 0.12947E+10
   91.00 , 0.14998E+10
   92.00 , 0.16895E+10
   93.00 , 0.18587E+10
   94.00 , 0.20043E+10
   95.00 , 0.21255E+10
   96.00 , 0.22234E+10
   97.00 , 0.22998E+10
   98.00 , 0.23578E+10
   99.00 , 0.24002E+10
  100.00 , 0.24301E+10
  101.00 , 0.24504E+10
  102.00 , 0.24635E+10
  103.00 , 0.24715E+10
  104.00 , 0.24761E+10
  105.00 , 0.24784E+10
  106.00 , 0.24795E+10
  107.00 , 0.24799E+10
  108.00 , 0.24800E+10
  109.00 , 0.24800E+10
  110.00 , 0.24800E+10
  111.00 , 0.24653E+10
  112.00 , 0.24242E+10
  113.00 , 0.23612E+10
  114.00 , 0.22813E+10
  115.00 , 0.21890E+10
  116.00 , 0.20891E+10
  117.00 , 0.19862E+10
  118.00 , 0.18847E+10
  119.00 , 0.17888E+10
  120.00 , 0.17023E+10
  121.00 , 0.16287E+10
  122.00 , 0.15710E+10
  123.00 , 0.15318E+10
  124.00 , 0.15130E+10
  125.00 , 0.15160E+10
  126.00 , 0.15412E+10
  127.00 , 0.15886E+10
  128.00 , 0.16570E+10
  129.00 , 0.17446E+10
  130.00 , 0.18484E+10
  131.00 , 0.19644E+10
  132.00 , 0.20877E+10
  133.00 , 0.22118E+10
  134.00 , 0.23293E+10
  135.00 , 0.24315E+10
  136.00 , 0.25015E+10
  137.00 , 0.25542E+10
  138.00 , 0.26083E+10
  139.00 , 0.26638E+10
  140.00 , 0.27209E+10
  141.00 , 0.27795E+10
  142.00 , 0.28397E+10
  143.00 , 0.29016E+10
  144.00 , 0.29653E+10
  145.00 , 0.30308E+10
  146.00 , 0.30982E+10
  147.00 , 0.31675E+10
  148.00 , 0.32389E+10
  149.00 , 0.33123E+10
  150.00 , 0.33880E+10
  151.00 , 0.34660E+10
  152.00 , 0.35463E+10
  153.00 , 0.36291E+10
  154.00 , 0.37146E+10
  155.00 , 0.38027E+10
  156.00 , 0.38936E+10
  157.00 , 0.39875E+10
  158.00 , 0.40844E+10
  159.00 , 0.41846E+10
  160.00 , 0.42881E+10
  161.00 , 0.43952E+10
  162.00 , 0.45060E+10
  163.00 , 0.46206E+10
  164.00 , 0.47393E+10
  165.00 , 0.48624E+10
  166.00 , 0.49899E+10
  167.00 , 0.51222E+10
  168.00 , 0.52595E+10
  169.00 , 0.54021E+10
  170.00 , 0.55503E+10
  171.00 , 0.57045E+10
  172.00 , 0.58649E+10
  173.00 , 0.60320E+10
  174.00 , 0.62062E+10
  175.00 , 0.63880E+10
  176.00 , 0.65778E+10
  177.00 , 0.67762E+10
  178.00 , 0.69839E+10
  179.00 , 0.72015E+10
  180.00 , 0.74298E+10
  181.00 , 0.76696E+10
  182.00 , 0.79218E+10
  183.00 , 0.81876E+10
  184.00 , 0.84681E+10
  185.00 , 0.87647E+10
  186.00 , 0.90790E+10
  187.00 , 0.94128E+10
  188.00 , 0.97681E+10
  189.00 , 0.10148E+11
  190.00 , 0.10554E+11
  191.00 , 0.10991E+11
  192.00 , 0.11463E+11
  193.00 , 0.11974E+11
  194.00 , 0.12533E+11
  195.00 , 0.13147E+11
  196.00 , 0.13827E+11
  197.00 , 0.14589E+11
  198.00 , 0.15441E+11
  199.00 , 0.16343E+11
  200.00 , 0.17289E+11
  201.00 , 0.18281E+11
  202.00 , 0.19322E+11
  203.00 , 0.20411E+11
  204.00 , 0.21553E+11
  205.00 , 0.22747E+11
  206.00 , 0.23996E+11
  207.00 , 0.25302E+11
