f10_7,f10_7a,ap
   69.4 ,  72.0  ,  6.4 
   69.2 ,  72.1  ,  6.1 
   70.8 ,  72.1  ,  9.9 
   70.6 ,  72.2  ,  9.9 
   70.3 ,  72.2  , 12.0 
   71.8 ,  72.2  ,  6.8 
   73.7 ,  72.2  ,  4.4 
   76.6 ,  72.2  , 11.4 
   78.8 ,  72.2  ,  8.8 
   79.3 ,  72.2  , 13.8 
   78.4 ,  72.2  ,  6.3 
   78.9 ,  72.2  ,  7.1 
   77.7 ,  72.2  ,  7.1 
   78.3 ,  72.2  ,  3.8 
   75.9 ,  72.2  ,  6.5 
   75.9 ,  72.2  ,  5.4 
   74.7 ,  72.3  ,  2.8 
   76.7 ,  72.3  ,  1.6 
   75.2 ,  72.3  ,  3.9 
   73.3 ,  72.3  ,  3.5 
   70.6 ,  72.3  ,  3.1 
   69.9 ,  72.4  ,  2.6 
   70.2 ,  72.4  ,  7.4 
   69.6 ,  72.4  ,  6.4 
   70.1 ,  72.4  ,  4.5 
   68.4 ,  72.4  ,  3.4 
   68.0 ,  72.4  ,  5.3 
   67.8 ,  72.4  ,  4.1 
   68.8 ,  72.5  ,  4.1 
   67.9 ,  72.5  ,  4.0 
   69.5 ,  72.5  , 10.8 
