f10_7,f10_7a,ap
   69.7  , 69.7 ,   7.6 
   70.5  , 69.7 ,   4.5 
   69.5  , 69.7 ,   3.3 
   69.1  , 69.7 ,   4.3 
   69.9  , 69.6 ,   3.8 
   69.0  , 69.6 ,   2.9 
   68.8  , 69.6 ,   4.0 
   69.6  , 69.6 ,   7.8 
   68.7  , 69.6 ,  15.1 
   69.7  , 69.6 ,  15.1 
   70.1  , 69.6 ,   6.3 
   69.4  , 69.6 ,   4.5 
   69.0  , 69.5 ,   5.3 
   68.2  , 69.5 ,   4.6 
   69.4  , 69.5 ,   6.5 
   69.3  , 69.4 ,   4.5 
   69.5  , 69.4 ,   5.1 
   70.0  , 69.4 ,   2.9 
   69.2  , 69.3 ,   3.0 
   68.9  , 69.3 ,   1.9 
   69.1  , 69.3 ,   7.6 
   69.8  , 69.3 ,   6.9 
   69.5  , 69.2 ,   5.3 
   69.6  , 69.2 ,   3.8 
   70.0  , 69.3 ,   2.0 
   70.3  , 69.3 ,   1.5 
   69.8  , 69.2 ,   4.0 
   68.7  , 69.2 ,   4.0 
   69.2  , 69.2 ,   4.0 
   68.2  , 69.2 ,   7.6 
   68.3  , 69.2 ,   6.9 
