f10_7,f10_7a,ap
   68.1 ,  68.1 ,  10.5 
   68.8 ,  68.1 ,   6.4 
   68.4 ,  68.1 ,   4.1 
   68.3 ,  68.0 ,   6.4 
   68.1 ,  68.0 ,   6.8 
   67.8 ,  68.0 ,   4.0 
   67.3 ,  68.0 ,   5.6 
   67.6 ,  68.1 ,   4.4 
   67.0 ,  68.1 ,   7.9 
   67.9 ,  68.1 ,  13.4 
   67.3 ,  68.1 ,   6.9 
   68.3 ,  68.1 ,   4.5 
   68.0 ,  68.1 ,   0.4 
   66.9 ,  68.1 ,   4.8 
   65.8 ,  68.1 ,   3.4 
   66.9 ,  68.1 ,   5.1 
   65.9 ,  68.1 ,   4.8 
   65.6 ,  68.1 ,   5.0 
   65.6 ,  68.1 ,   4.3 
   65.5 ,  68.1 ,   4.4 
   64.4 ,  68.1 ,   4.4 
   63.4 ,  68.1 ,   2.5 
   64.9 ,  68.0 ,   1.3 
   63.9 ,  68.0 ,  17.9 
   64.3 ,  68.0 ,  25.4 
   67.9 ,  68.0 ,  23.8 
   67.8 ,  67.9 ,  15.3 
   68.0 ,  67.9 ,  10.0 
   68.5 ,  67.9 ,   7.4 
   68.2 ,  67.9 ,   6.6 
   68.8 ,  67.9 ,   6.4 
